,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2001-11-27,0.375,-0.998,0.127,0.783,0.09,0.378571,0.384286,0.366071,268553600.0
2001-11-28,0.366607,-0.9976,0.122,0.812,0.066,0.372321,0.37875,0.364464,250611200.0
2001-11-29,0.364643,-0.997,0.115,0.822,0.063,0.367857,0.369643,0.360536,202764800.0
2001-11-30,0.380357,-0.9993,0.141,0.782,0.077,0.365536,0.382857,0.361607,303912000.0
2001-12-03,0.375893,-0.999,0.174,0.726,0.101,0.376071,0.38,0.367857,181165600.0
2001-12-04,0.4,-0.98,0.067,0.875,0.058,0.375893,0.402857,0.37,380419200.0
2001-12-05,0.42428599999999994,-0.9934,0.122,0.789,0.089,0.39928600000000003,0.42910699999999996,0.395893,568579200.0
2001-12-06,0.40678600000000004,-0.9981,0.113,0.8,0.087,0.419286,0.41964300000000004,0.395357,338934400.0
2001-12-07,0.4025,-0.9969,0.106,0.831,0.063,0.401071,0.405536,0.392857,203515200.0
2001-12-10,0.4025,-0.9978,0.129,0.794,0.077,0.398036,0.41053599999999996,0.396964,170010400.0
2001-12-11,0.38892899999999997,-0.9959,0.113,0.803,0.083,0.404821,0.408036,0.38660700000000003,205475200.0
2001-12-12,0.38375,-0.9925,0.097,0.849,0.054,0.390536,0.39142899999999997,0.37946399999999997,192460800.0
2001-12-13,0.375,-0.9986,0.144,0.769,0.086,0.38375,0.384821,0.366071,197842400.0
2001-12-14,0.364107,-0.9987,0.162,0.728,0.11,0.370179,0.37196399999999996,0.35875,189884800.0
2001-12-17,0.368214,-0.9866,0.114,0.802,0.084,0.364286,0.375,0.360536,173712000.0
2001-12-18,0.375179,-0.9942,0.107,0.827,0.066,0.37303600000000003,0.380893,0.36107100000000003,235239200.0
2001-12-19,0.386071,-0.995,0.117,0.798,0.084,0.3675,0.38714299999999996,0.365536,289956800.0
2001-12-20,0.369107,-0.997,0.115,0.824,0.061,0.382143,0.383393,0.368214,220864000.0
2001-12-21,0.375,-0.9972,0.103,0.832,0.065,0.375179,0.38464299999999996,0.371429,256334400.0
2001-12-24,0.381429,-0.999,0.158,0.76,0.082,0.373214,0.383036,0.373214,50629600.0
2001-12-26,0.38375,-0.9971,0.116,0.819,0.065,0.38125,0.398214,0.3775,146400800.0
2001-12-27,0.39410700000000004,-0.9922,0.109,0.802,0.089,0.385357,0.397321,0.385357,191508800.0
2001-12-28,0.400536,-0.9956,0.121,0.796,0.083,0.39232100000000003,0.410714,0.39214299999999996,299124000.0
2001-12-31,0.391071,-0.9967,0.127,0.819,0.054,0.401964,0.404643,0.38982100000000003,137782400.0
2002-01-02,0.416071,-0.9897,0.085,0.848,0.067,0.39375,0.416071,0.39214299999999996,529496800.0
2002-01-03,0.42107100000000003,-0.995,0.085,0.854,0.061,0.410714,0.42410699999999996,0.406607,612007200.0
2002-01-04,0.42303599999999997,-0.9975,0.122,0.792,0.086,0.416786,0.427679,0.41053599999999996,409976000.0
2002-01-07,0.408929,-0.8713,0.098,0.813,0.088,0.42357100000000003,0.428571,0.40625,444584000.0
2002-01-08,0.40375,-0.9946,0.103,0.813,0.084,0.40625,0.41160699999999995,0.401071,450038400.0
2002-01-09,0.38660700000000003,-0.9974,0.099,0.829,0.071,0.407143,0.409464,0.38,327835200.0
2002-01-10,0.379107,-0.994,0.082,0.858,0.059,0.378929,0.383214,0.361607,452737600.0
2002-01-11,0.375893,-0.9996,0.155,0.777,0.069,0.38196399999999997,0.39,0.367857,348801600.0
2002-01-14,0.377679,0.995,0.093,0.786,0.121,0.375179,0.382143,0.373214,415996000.0
2002-01-15,0.3875,-0.8597,0.088,0.82,0.092,0.380714,0.388571,0.37875,290320800.0
2002-01-16,0.371071,-0.9984,0.13,0.783,0.087,0.382321,0.382321,0.366071,566893600.0
2002-01-17,0.401429,-0.9952,0.105,0.811,0.084,0.39214299999999996,0.406071,0.390536,660576000.0
2002-01-18,0.395893,-0.9943,0.122,0.775,0.103,0.392857,0.403571,0.39214299999999996,338811200.0
2002-01-22,0.38964299999999996,-0.9987,0.113,0.801,0.086,0.397679,0.399464,0.38964299999999996,327314400.0
2002-01-23,0.411071,-0.9927,0.112,0.797,0.092,0.389286,0.411429,0.385536,443279200.0
2002-01-24,0.41446400000000005,-0.984,0.105,0.8,0.095,0.409107,0.419821,0.408929,344002400.0
2002-01-25,0.415179,-0.9863,0.095,0.828,0.078,0.40875,0.41821400000000003,0.404643,185914400.0
2002-01-28,0.41553599999999996,-0.9786,0.103,0.808,0.089,0.417857,0.42053599999999997,0.40571399999999996,186446400.0
